# data taken from Dans Diffraction at github
# X-ray Form factor: ITC, p578
#Z  Element Name          a1         b1         a2         b2         a3         b3         a4         b4         c          
 88 Ra      Radium         35.763000   0.616341  22.906400   3.871350  12.473900  19.988700   3.210970 142.325000  13.621100 
 89 Ac      Actinium       35.659700   0.589092  23.103200   3.651550  12.597700  18.599000   4.086550 117.020000  13.526600 
 90 Th      Thorium        35.564500   0.563359  23.421900   3.462040  12.747300  17.830900   4.807030  99.172200  13.431400 
 91 Pa      Protactinium   35.884700   0.547751  23.294800   3.415190  14.189100  16.923500   4.172870 105.251000  13.428700 
 92 U       Uranium        36.022800   0.529300  23.412800   3.325300  14.949100  16.092700   4.188000 100.613000  13.396600 
 93 Np      Neptunium      36.187400   0.511929  23.596400   3.253960  15.640200  15.362200   4.185500  97.490800  13.357300 
 94 Pu      Plutonium      36.525400   0.499384  23.808300   3.263710  16.770700  14.945500   3.479470 105.980000  13.381200 
 95 Am      Americium      36.670600   0.483629  24.099200   3.206470  17.341500  14.313600   3.493310 102.273000  13.359200 
 96 Cm      Curium         36.648800   0.465154  24.409600   3.089970  17.399000  13.434600   4.216650  88.483400  13.288700 
 97 Bk      Berkelium      36.788100   0.451018  24.773600   3.046190  17.891900  12.894600   4.232840  86.003000  13.275400 
 98 Cf      Californium    36.918500   0.437533  25.199500   3.007750  18.331700  12.404400   4.243910  83.788100  13.267400 
 99 Es      Einsteinium    36.918500   0.437533  25.199500   3.007750  18.331700  12.404400   4.243910  83.788100  13.267400 
100 Fm      Fermium        36.918500   0.437533  25.199500   3.007750  18.331700  12.404400   4.243910  83.788100  13.267400 
101 Md      Mendelevium    36.918500   0.437533  25.199500   3.007750  18.331700  12.404400   4.243910  83.788100  13.267400 
102 No      Nobelium       36.918500   0.437533  25.199500   3.007750  18.331700  12.404400   4.243910  83.788100  13.267400 
103 Lr      Lawrencium     36.918500   0.437533  25.199500   3.007750  18.331700  12.404400   4.243910  83.788100  13.267400 
104 Rf      Rutherfordium  36.918500   0.437533  25.199500   3.007750  18.331700  12.404400   4.243910  83.788100  13.267400 
105 Db      Dubnium        36.918500   0.437533  25.199500   3.007750  18.331700  12.404400   4.243910  83.788100  13.267400 
106 Sg      Seaborgium     36.918500   0.437533  25.199500   3.007750  18.331700  12.404400   4.243910  83.788100  13.267400 
107 Bh      Bohrium        36.918500   0.437533  25.199500   3.007750  18.331700  12.404400   4.243910  83.788100  13.267400 
108 Hs      Hassium        36.918500   0.437533  25.199500   3.007750  18.331700  12.404400   4.243910  83.788100  13.267400 
109 Mt      Meitnerium     36.918500   0.437533  25.199500   3.007750  18.331700  12.404400   4.243910  83.788100  13.267400 
110 Ds      Darmstadtium   36.918500   0.437533  25.199500   3.007750  18.331700  12.404400   4.243910  83.788100  13.267400 
111 Rg      Roentgenium    36.918500   0.437533  25.199500   3.007750  18.331700  12.404400   4.243910  83.788100  13.267400 
112 Cn      Copernicium    36.918500   0.437533  25.199500   3.007750  18.331700  12.404400   4.243910  83.788100  13.267400 
113 Nh      Nihonium       36.918500   0.437533  25.199500   3.007750  18.331700  12.404400   4.243910  83.788100  13.267400 
114 Fl      Flerovium      36.918500   0.437533  25.199500   3.007750  18.331700  12.404400   4.243910  83.788100  13.267400 
115 Mc      Moscovium      36.918500   0.437533  25.199500   3.007750  18.331700  12.404400   4.243910  83.788100  13.267400 
116 Lv      Livermorium    36.918500   0.437533  25.199500   3.007750  18.331700  12.404400   4.243910  83.788100  13.267400 
117 Ts      Tennessine     36.918500   0.437533  25.199500   3.007750  18.331700  12.404400   4.243910  83.788100  13.267400 
118 Og      Oganesson      36.918500   0.437533  25.199500   3.007750  18.331700  12.404400   4.243910  83.788100  13.267400 
